Guillelmus Grandimontensis	<Guy de Grandmont, Guglielmo di Grandmont>	Itinerarium reliquiarum sanctarum septem virginum sociarum Sanctae Ursulae e diocesi Coloniensi in ecclesiam Grandimontis
Guillelmus Textor	<Wilhelm Tzewers>	Itinerarium Terrae Sanctae
Guillelmus Walteri de Zirixsee	<Willelm Walterszoon van Zierikzee, Guglielmo di Gualtiero da Zierikzee>	Descriptio de tota terra promissionis cum Hierusalem
Guillelmus Wey	<William Wey>	Itinerarium peregrinacionis ad sanctum Iacobum in Ispannya
Guillelmus Wey	<William Wey>	Itinerarium peregrinacionis ad sepulcrum sanctissimum
Guillelmus Wey	<William Wey>	Itinerarium secundum ad Terram Sanctam
Guillelmus Worcestrius	<William Worcester>	Itineraria
Guillelmus de Rubruc	<Guglielmo di Rubruck, Guillaume de Rubrouck, Willem van Ruysbroeck>	Itinerarium
Guillelmus filius Stephani	<William Fitzstephen>	Descriptio Londoniae
Haytonus de Corycus	<Antonius Curchinus, Ayton di Corycus, Hetoum di Corycus, Hetʾum di Corycus>	Flos historiarum terrae Orientis
Henricus Bebelius Iustingensis	<Henrich Bebel>	Carmen de urbe Constantia
Henricus Tribbe	<Heinrich Tribbe>	Descriptio urbis et episcopatus Mindensis
Henricus de Antwerpe	<Enrico da Anversa, Heinrich von Antwerpen>	Tractatus de urbe Brandenburg
Henricus de Glacz	<>	Relatio de mirabilibus orientalium Tatarorum
Henricus de Gundelfingen	<Heinrich von Gundelfingen>	Elogium, seu Descriptio, Confoederationis Helveticae
Henricus de Gundelfingen	<Heinrich von Gundelfingen>	Topographia urbis Bernensis
Hermannus Knuyt de Slyterhoven	<Hermann Knuyt van Slyterhoven>	Scornetta
Hieronymus Balbus	<Girolamo Balbi>	Hodoeporicon elegia Bohuslao de Hasistein
Hieronymus Bononius Tarvisinus	<Girolamo Bologni>	Mediolanum
Hieronymus Cordubensis	<Gerolamo da Cordoba, Girolamo da Cordoba, Jerónimo de Córdoba>	Descriptio Cordubae
Hieronymus Monetarius	<Hieronymus Münzer>	De inventione Africae maritimae et occidentalis videlicet Guineae per Infantem Henricum Portugalliae
Hieronymus Monetarius	<Hieronymus Münzer>	Itinerarium
Hieronymus Paulus	<Jeroni Pau>	Ad Barcinonem urbem
Hieronymus Paulus	<Jeroni Pau>	De fluminibus et montibus Hispaniarum libellus
Hieronymus de Bursellis	<Gerolamo Albertucci de' Borselli, Girolamo Albertucci de' Borselli>	Tractatus de origine civitatum Ytaliae
Hildebertus Cenomanensis	<Ildberto di Lavardin>	Insula Meldis ave
Honorius Augustodunensis	<Honorius Augustodunensis presbyter et scholasticus>	Imago mundi
Hrabanus Maurus	<Reabanus, Rhabanus, Rabanus Maurus Magnentius, Rabano Mauro>	De rerum naturis
Hubertus Decembrius	<Uberto Decembrio>	De eadem urbe et moribus incolarum copiosius (Epist. VI)
Hubertus Decembrius	<Uberto Decembrio>	Descriptio Pragensis urbis et nonnulla de moribus populi in ea existentibus (Epist. V)
Hugeburc monacha de Heidenheim	<Hugeberc, Hugeburc, Hygeburg, Hugeburc von Heidenheim, Hugeburc di Heidenheim>	Hodoeporicon sancti Willibaldi
Hugo de Sancto Victore	<Ugo di San Vittore>	Descriptio mappe mundi
Humbertus de Divione	<Humbertus Divionensis, Humbert de Dijon>	Liber de locis et conditionibus Terrae Sanctae et sepulcro
Hyacinthus presbyter	<prete Giacinto>	Itinerarium
Iacobus Angeli de Scarperia	<Iacopo Angeli, Iacopo di Angelo da Scarperia>	Cosmographia
Iacobus Bracellus	<Giacomo Bracelli, Iacopo Bracelli, Jacobus Bracellus>	Descriptio orae Ligusticae
Iacobus Utinensis	<Giacomo da Udine>	De antiquitatibus Aquileiensibus
Iacobus Veronensis	<Jacopo da Verona>	Liber peregrinationis
Iacobus de Vitriaco	<Jacques de Vitry>	Historia Hierosolymitana
Iannotius Manettus	<Giannozzo Manetti>	De terremotu
Ioannes Iovianus Pontanus	<Giovanni Pontano>	De bello Neapolitano
Ioannes Iovianus Pontanus	<Giovanni Pontano>	Hendecasyllaborum seu Baiarum libri
Ioannes Iovianus Pontanus	<Giovanni Pontano>	Meteororum liber
Iohannes Antonius Campanus	<Giovanni Antonio Campano>	De Thrasimeni foelicitate ad Pandulphum Balionium
